ID,Title,Link,titleSlug,Approach,Difficulty,Topics
1,Two Sum,Two Sum,two-sum,Basic 2 Pointer,Easy,"Array, Hash Table, "
2,Add Two Numbers,Add Two Numbers,add-two-numbers,,Medium,"Linked List, Math, "
3,Longest Substring Without Repeating Characters,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,,Easy,"Hash Table, Two Pointers, String, Sliding Window, "
4,Median of Two Sorted Arrays,Median of Two Sorted Arrays,median-of-two-sorted-arrays,,Hard,"Array, Binary Search, Divide and Conquer, "
5,Longest Palindromic Substring,Longest Palindromic Substring,longest-palindromic-substring,,Easy,"String, Dynamic Programming, "
6,ZigZag Conversion,ZigZag Conversion,zigzag-conversion,,Medium,"String, "
7,Reverse Integer,Reverse Integer,reverse-integer,,Medium,"Math, "
8,String to Integer (atoi),String to Integer (atoi),string-to-integer-atoi,,Medium,"Math, String, "
9,Palindrome Number,Palindrome Number,palindrome-number,,Medium,"Math, "
10,Regular Expression Matching,Regular Expression Matching,regular-expression-matching,,Hard,"String, Dynamic Programming, Backtracking, "
11,Container With Most Water,Container With Most Water,container-with-most-water,,Easy,"Array, Two Pointers, "
12,Integer to Roman,Integer to Roman,integer-to-roman,,Medium,"Math, String, "
13,Roman to Integer,Roman to Integer,roman-to-integer,,Medium,"Math, String, "
14,Longest Common Prefix,Longest Common Prefix,longest-common-prefix,,Medium,"String, "
15,3Sum,3Sum,3sum,,Hard,"Array, Two Pointers, "
16,3Sum Closest,3Sum Closest,3sum-closest,,Easy,"Array, Two Pointers, "
17,Letter Combinations of a Phone Number,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,,Hard,"String, Backtracking, "
18,4Sum,4Sum,4sum,,Hard,"Array, Hash Table, Two Pointers, "
19,Remove Nth Node From End of List,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Slow fast pointers , remove n-1-k th node ; slow , fast pointer (fast ahead of slow by n) slow->next = slow->next->next",Easy,"Linked List, Two Pointers, "
20,Valid Parentheses,Valid Parentheses,valid-parentheses,,Easy,"String, Stack, "
21,Merge Two Sorted Lists,Merge Two Sorted Lists,merge-two-sorted-lists,,Hard,"Linked List, "
22,Generate Parentheses,Generate Parentheses,generate-parentheses,,Easy,"String, Backtracking, "
