ID,Title,Link,titleSlug,Approach,Difficulty,Topics
1,Two Sum,Two Sum,two-sum,Basic 2 Pointer,Easy,"Array, Hash Table, "
3,Longest Substring Without Repeating Characters,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,,Easy,"Hash Table, Two Pointers, String, Sliding Window, "
5,Longest Palindromic Substring,Longest Palindromic Substring,longest-palindromic-substring,,Easy,"String, Dynamic Programming, "
11,Container With Most Water,Container With Most Water,container-with-most-water,,Easy,"Array, Two Pointers, "
16,3Sum Closest,3Sum Closest,3sum-closest,,Easy,"Array, Two Pointers, "
19,Remove Nth Node From End of List,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Slow fast pointers , remove n-1-k th node ; slow , fast pointer (fast ahead of slow by n) slow->next = slow->next->next",Easy,"Linked List, Two Pointers, "
20,Valid Parentheses,Valid Parentheses,valid-parentheses,,Easy,"String, Stack, "
22,Generate Parentheses,Generate Parentheses,generate-parentheses,,Easy,"String, Backtracking, "
23,Merge k Sorted Lists,Merge k Sorted Lists,merge-k-sorted-lists,,Easy,"Linked List, Divide and Conquer, Heap, "
24,Swap Nodes in Pairs,Swap Nodes in Pairs,swap-nodes-in-pairs,,Easy,"Linked List, "
32,Longest Valid Parentheses,Longest Valid Parentheses,longest-valid-parentheses,,Easy,"String, Stack, "
33,Search in Rotated Sorted Array,Search in Rotated Sorted Array,search-in-rotated-sorted-array,,Easy,"Array, Binary Search, "
34,Find First and Last Position of Element in Sorted Array,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,,Easy,"Array, Binary Search, "
37,Sudoku Solver,Sudoku Solver,sudoku-solver,,Easy,"Hash Table, Backtracking, "
39,Combination Sum,Combination Sum,combination-sum,,Easy,"Array, Backtracking, "
40,Combination Sum II,Combination Sum II,combination-sum-ii,,Easy,"Array, Backtracking, "
42,Trapping Rain Water,Trapping Rain Water,trapping-rain-water,,Easy,"Array, Two Pointers, Stack, "
44,Wildcard Matching,Wildcard Matching,wildcard-matching,,Easy,"String, Dynamic Programming, Backtracking, Greedy, "
45,Jump Game II,Jump Game II,jump-game-ii,,Easy,"Array, Greedy, "
46,Permutations,Permutations,permutations,,Easy,"Backtracking, "
47,Permutations II,Permutations II,permutations-ii,,Easy,"Backtracking, "
48,Rotate Image,Rotate Image,rotate-image,,Easy,"Array, "
49,Group Anagrams,Group Anagrams,group-anagrams,,Easy,"Hash Table, String, "
51,N-Queens,N-Queens,n-queens,,Easy,"Backtracking, "
53,Maximum Subarray,Maximum Subarray,maximum-subarray,,Easy,"Array, Divide and Conquer, Dynamic Programming, "
55,Jump Game,Jump Game,jump-game,,Easy,"Array, Greedy, "
56,Merge Intervals,Merge Intervals,merge-intervals,,Easy,"Array, Sort, "
62,Unique Paths,Unique Paths,unique-paths,,Easy,"Array, Dynamic Programming, "
64,Minimum Path Sum,Minimum Path Sum,minimum-path-sum,,Easy,"Hash Table, Stack, "
70,Climbing Stairs,Climbing Stairs,climbing-stairs,,Easy,"Dynamic Programming, "
72,Edit Distance,Edit Distance,edit-distance,,Easy,"String, Dynamic Programming, "
74,Search a 2D Matrix,Search a 2D Matrix,search-a-2d-matrix,,Easy,"Array, Binary Search, "
75,Sort Colors,Sort Colors,sort-colors,,Easy,"Array, Two Pointers, Sort, "
76,Minimum Window Substring,Minimum Window Substring,minimum-window-substring,,Easy,"Hash Table, Two Pointers, String, Sliding Window, "
77,Combinations,Combinations,combinations,,Easy,"Backtracking, "
78,Subsets,Subsets,subsets,,Easy,"Array, Backtracking, Bit Manipulation, "
79,Word Search,Word Search,word-search,,Easy,"Array, Backtracking, "
82,Remove Duplicates from Sorted List II,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Check equality of curr->data == curr->next->data,Easy,"Linked List, "
83,Remove Duplicates from Sorted List,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,,Easy,"Linked List, "
84,Largest Rectangle in Histogram,Largest Rectangle in Histogram,largest-rectangle-in-histogram,,Easy,"Array, Stack, "
85,Maximal Rectangle,Maximal Rectangle,maximal-rectangle,,Easy,"Array, Hash Table, Dynamic Programming, Stack, "
90,Subsets II,Subsets II,subsets-ii,,Easy,"Array, Backtracking, "
