ID,Title,Link,titleSlug,Approach,Difficulty,Topics
4,Median of Two Sorted Arrays,Median of Two Sorted Arrays,median-of-two-sorted-arrays,,Hard,"Array, Binary Search, Divide and Conquer, "
10,Regular Expression Matching,Regular Expression Matching,regular-expression-matching,,Hard,"String, Dynamic Programming, Backtracking, "
15,3Sum,3Sum,3sum,,Hard,"Array, Two Pointers, "
17,Letter Combinations of a Phone Number,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,,Hard,"String, Backtracking, "
18,4Sum,4Sum,4sum,,Hard,"Array, Hash Table, Two Pointers, "
21,Merge Two Sorted Lists,Merge Two Sorted Lists,merge-two-sorted-lists,,Hard,"Linked List, "
25,Reverse Nodes in k-Group,Reverse Nodes in k-Group,reverse-nodes-in-k-group,,Hard,"Linked List, "
35,Search Insert Position,Search Insert Position,search-insert-position,,Hard,"Array, Binary Search, "
57,Insert Interval,Insert Interval,insert-interval,,Hard,"Array, Sort, "
59,Spiral Matrix II,Spiral Matrix II,spiral-matrix-ii,,Hard,"Array, "
63,Unique Paths II,Unique Paths II,unique-paths-ii,,Hard,"Array, Dynamic Programming, "
67,Add Binary,Add Binary,add-binary,,Hard,"Math, String, "
73,Set Matrix Zeroes,Set Matrix Zeroes,set-matrix-zeroes,,Hard,"Array, "
98,Validate Binary Search Tree,Validate Binary Search Tree,validate-binary-search-tree,,Hard,"Tree, Depth-first Search, "
107,Binary Tree Level Order Traversal II,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,,Hard,"Tree, Breadth-first Search, "
114,Flatten Binary Tree to Linked List,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,,Hard,"Breadth-first Search, "
117,Populating Next Right Pointers in Each Node II,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,,Hard,"Tree, Depth-first Search, "
120,Triangle,Triangle,triangle,,Hard,"Array, Dynamic Programming, "
126,Word Ladder II,Word Ladder II,word-ladder-ii,,Hard,"Array, String, Backtracking, Breadth-first Search, "
135,Candy,Candy,candy,,Hard,"Greedy, "
141,Linked List Cycle,Linked List Cycle,linked-list-cycle,,Hard,"Linked List, Two Pointers, "
153,Find Minimum in Rotated Sorted Array,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,,Hard,"Array, Binary Search, "
155,Min Stack,Min Stack,min-stack,,Hard,"Binary Search, Tree, "
160,Intersection of Two Linked Lists,Intersection of Two Linked Lists,intersection-of-two-linked-lists,,Hard,"Linked List, "
171,Excel Sheet Column Number,Excel Sheet Column Number,excel-sheet-column-number,,Hard,"Math, "
173,Binary Search Tree Iterator,Binary Search Tree Iterator,binary-search-tree-iterator,,Hard,"Stack, Tree, Design, "
175,Combine Two Tables,Combine Two Tables,combine-two-tables,,Hard,
179,Largest Number,Largest Number,largest-number,,Hard,"Sort, "
181,Employees Earning More Than Their Managers,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,,Hard,
183,Customers Who Never Order,Customers Who Never Order,customers-who-never-order,,Hard,
201,Bitwise AND of Numbers Range,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,,Hard,"Bit Manipulation, "
214,Shortest Palindrome,Shortest Palindrome,shortest-palindrome,,Hard,"String, "
222,Count Complete Tree Nodes,Count Complete Tree Nodes,count-complete-tree-nodes,,Hard,"Stack, Design, "
224,Basic Calculator,Basic Calculator,basic-calculator,,Hard,"Math, Stack, "
227,Basic Calculator II,Basic Calculator II,basic-calculator-ii,,Hard,"String, "
229,Majority Element II,Majority Element II,majority-element-ii,,Hard,"Array, "
232,Implement Queue using Stacks,Implement Queue using Stacks,implement-queue-using-stacks,,Hard,"Stack, Design, "
234,Palindrome Linked List,Palindrome Linked List,palindrome-linked-list,,Hard,"Linked List, Two Pointers, "
242,Valid Anagram,Valid Anagram,valid-anagram,,Hard,"Hash Table, Sort, "
243,Shortest Word Distance,Shortest Word Distance,shortest-word-distance,,Hard,"Array, "
255,Verify Preorder Sequence in Binary Search Tree,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,,Hard,"Stack, Tree, "
256,Paint House,Paint House,paint-house,,Hard,"Dynamic Programming, "
259,3Sum Smaller,3Sum Smaller,3sum-smaller,,Hard,"Array, Two Pointers, "
266,Palindrome Permutation,Palindrome Permutation,palindrome-permutation,,Hard,"Hash Table, "
267,Palindrome Permutation II,Palindrome Permutation II,palindrome-permutation-ii,,Hard,"Backtracking, "
270,Closest Binary Search Tree Value,Closest Binary Search Tree Value,closest-binary-search-tree-value,,Hard,"Binary Search, Tree, "
277,Find the Celebrity,Find the Celebrity,find-the-celebrity,,Hard,"Array, "
280,Wiggle Sort,Wiggle Sort,wiggle-sort,,Hard,"Array, Sort, "
282,Expression Add Operators,Expression Add Operators,expression-add-operators,,Hard,"Divide and Conquer, "
287,Find the Duplicate Number,Find the Duplicate Number,find-the-duplicate-number,,Hard,"Array, Two Pointers, Binary Search, "
289,Game of Life,Game of Life,game-of-life,,Hard,"Array, "
290,Word Pattern,Word Pattern,word-pattern,,Hard,"Hash Table, "
294,Flip Game II,Flip Game II,flip-game-ii,,Hard,"Backtracking, Minimax, "
296,Best Meeting Point,Best Meeting Point,best-meeting-point,,Hard,"Math, Sort, "
304,Range Sum Query 2D - Immutable,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,,Hard,"Dynamic Programming, "
308,Range Sum Query 2D - Mutable,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,,Hard,"Binary Indexed Tree, Segment Tree, "
