ID,Title,Link,titleSlug,Approach,Difficulty,Topics
2,Add Two Numbers,Add Two Numbers,add-two-numbers,,Medium,"Linked List, Math, "
6,ZigZag Conversion,ZigZag Conversion,zigzag-conversion,,Medium,"String, "
7,Reverse Integer,Reverse Integer,reverse-integer,,Medium,"Math, "
8,String to Integer (atoi),String to Integer (atoi),string-to-integer-atoi,,Medium,"Math, String, "
9,Palindrome Number,Palindrome Number,palindrome-number,,Medium,"Math, "
12,Integer to Roman,Integer to Roman,integer-to-roman,,Medium,"Math, String, "
13,Roman to Integer,Roman to Integer,roman-to-integer,,Medium,"Math, String, "
14,Longest Common Prefix,Longest Common Prefix,longest-common-prefix,,Medium,"String, "
26,Remove Duplicates from Sorted Array,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,,Medium,"Array, Two Pointers, "
27,Remove Element,Remove Element,remove-element,,Medium,"Array, Two Pointers, "
28,Implement strStr(),Implement strStr(),implement-strstr,,Medium,"Two Pointers, String, "
29,Divide Two Integers,Divide Two Integers,divide-two-integers,,Medium,"Math, Binary Search, "
30,Substring with Concatenation of All Words,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,,Medium,"Hash Table, Two Pointers, String, "
31,Next Permutation,Next Permutation,next-permutation,,Medium,"Array, "
36,Valid Sudoku,Valid Sudoku,valid-sudoku,,Medium,"Hash Table, "
38,Count and Say,Count and Say,count-and-say,,Medium,"String, "
41,First Missing Positive,First Missing Positive,first-missing-positive,,Medium,"Array, "
43,Multiply Strings,Multiply Strings,multiply-strings,,Medium,"Math, String, "
50,"Pow(x, n)","Pow(x, n)",powx-n,,Medium,"Math, Binary Search, "
52,N-Queens II,N-Queens II,n-queens-ii,,Medium,"Backtracking, "
54,Spiral Matrix,Spiral Matrix,spiral-matrix,,Medium,"Array, "
58,Length of Last Word,Length of Last Word,length-of-last-word,,Medium,"String, "
60,Permutation Sequence,Permutation Sequence,permutation-sequence,,Medium,"Math, Backtracking, "
61,Rotate List,Rotate List,rotate-list,,Medium,"Linked List, Two Pointers, "
65,Valid Number,Valid Number,valid-number,,Medium,"Math, String, "
66,Plus One,Plus One,plus-one,,Medium,"Array, "
68,Text Justification,Text Justification,text-justification,,Medium,"String, "
69,Sqrt(x),Sqrt(x),sqrtx,,Medium,"Math, Binary Search, "
71,Simplify Path,Simplify Path,simplify-path,,Medium,"String, Stack, "
80,Remove Duplicates from Sorted Array II,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,,Medium,"Array, Two Pointers, "
81,Search in Rotated Sorted Array II,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,,Medium,"Array, Binary Search, "
86,Partition List,Partition List,partition-list,,Medium,"Linked List, Two Pointers, "
87,Scramble String,Scramble String,scramble-string,,Medium,"String, Dynamic Programming, "
88,Merge Sorted Array,Merge Sorted Array,merge-sorted-array,,Medium,"Array, Two Pointers, "
89,Gray Code,Gray Code,gray-code,,Medium,"Backtracking, "
91,Decode Ways,Decode Ways,decode-ways,,Medium,"String, Dynamic Programming, "
93,Restore IP Addresses,Restore IP Addresses,restore-ip-addresses,,Medium,"String, Backtracking, "
